"1","Ian Campbell","So","Hamline","2:32.44","H2"
"2","Ollie St. John","So","Macalester","2:39.49","H2"
"3","Brendan Ruter","Fr","Hamline","2:40.14","H2"
"4","Chris Reisdorfer","Fr","Hamline","2:42.52","H2"
"5","Logan Langley","Fr","Luther","2:45.63","H2"
"6","Justin Lund","Jr","Gustavus","2:46.22","H2"
"7","Joe Schubert","Jr","Macalester","2:46.54","H1"
"8","Owen Burbank","So","Macalester","2:49.05","H2"
"9","Michael Knudson","Jr","Carleton","2:49.88","H1"
"10","Andrew Bentz","Fr","Luther","2:52.12","H1"
"11","Tanner Quammen","Fr","Gustavus","2:55.10","H1"
"12","Tom Wagner","Jr","Luther","3:00.17","H1"
"13","Tyler Stevenson","So","Luther","3:00.35","H1"
"14","Anders Culver","Fr","Gustavus","3:08.72","H1"
